Index,Average infiltration rate,High Low Inf,High Med Low Inf,Area,Contributing area,Drainage Area Ratio,Age,Ponding depth,Inlet condition,Outlet condition,Underdrain,% Residential,% Commercial,% Industrial,% Institutional,% Vegetation_shrub,% Vegetation_tree,% Vegetation_grass,% Vegetation_prairie,% Vegetation_bare,% Vegetation_other,Underlying soil_% sand,Underlying soil_% silt,Underlying soil_% clay,Underlying soil_% urban/disturbed,Underlying soil_% other/undefined,Underlying soil_% organic matter,Evidence of poor infiltration,% of surface with poor infiltration,Vegetation condition,Inlet feature_Curb Cut,Inlet feature_Other,Inlet feature_Overland Flow,Inlet feature_Pipe,Outlet feature_Other,Outlet feature_Overland Flow,Outlet feature_Pipe,Outlet feature_Riser Pipe,Area_PC,LandUse_PC_1,LandUse_PC_2,Veg_PC_1,Veg_PC_2,Soil_PC_1,Soil_PC_2,PoorInf_PC,Inlet_PC_1,Inlet_PC_2,Outlet_PC_1,Outlet_PC_2
IL_2022_01,4.21581834,0,1,5700,43560,8,7,4,3,3,0,30,0,0,70,40,10,0,30,20,0,89,6,3,2,0,0.26,0,0,2,1,0,0,0,0,0,1,0,-0.277744225,0.548591592,0.554758606,-0.43839896,-1.673372258,-0.846560537,-1.909577908,-0.453104679,-1.32654488,1.153340056,-1.020138766,2.727830518
IL_2022_02,12.40651062,1,2,700,39204,56,7,4,3,3,0,0,0,0,100,20,20,0,40,20,0,89,6,3,2,0,0.26,0,0,2,1,0,0,0,0,0,1,0,-0.472066156,1.462957592,0.12080264,-0.119727202,-1.408339051,-0.846560537,-1.909577908,-0.453104679,-1.32654488,1.153340056,-1.020138766,2.727830518
IL_2022_03,7.618095,0,2,1000,8712,9,5,3,3,3,0,100,0,0,0,90,0,0,0,10,0,4,38,20,38,0,0.5,0,0,2,1,0,0,0,0,0,1,0,-0.49763044,-1.584929077,1.567322529,-1.741128033,-2.457267034,0.778346161,1.013715308,-0.453104679,-1.32654488,1.153340056,-1.020138766,2.727830518
IL_2022_04,3.78018934,0,1,1000,4356,4,5,4,3,3,0,100,0,0,0,90,0,0,0,10,0,4,38,20,38,0,0.5,0,0,2,1,0,0,0,0,0,1,0,-0.502794274,-1.584929077,1.567322529,-1.741128033,-2.457267034,0.778346161,1.013715308,-0.453104679,-1.32654488,1.153340056,-1.020138766,2.727830518
IL_2022_06,9.9531297,0,2,1000,4356,4,1,4,3,3,1,0,0,0,100,10,10,0,30,0,50,2,22,11,65,0,0.32,0,0,2,0,0,1,0,0,0,1,0,-0.502794274,1.462957592,0.12080264,-0.124866819,-0.214999954,-0.422835772,1.274659782,-0.453104679,1.503979743,0.32513045,-1.020138766,2.727830518
IL_2022_07,30.684978,1,3,4200,34848,8,4,4,3,3,0,0,0,0,100,50,10,0,40,0,0,9,57,33,1,0,0.35,0,0,3,1,0,0,0,0,0,1,0,-0.34533235,1.462957592,0.12080264,-0.573190467,-1.280479672,2.353438297,0.590847953,-0.453104679,-1.32654488,1.153340056,-1.020138766,2.727830518
IL_2022_08,6.2539245,0,1,5500,43560,8,3,6,3,3,0,0,0,0,100,0,0,0,50,20,30,35,34,28,2,1,1.31,0,0,2,1,0,0,0,0,0,0,1,-0.285494891,1.462957592,0.12080264,0.831916121,-0.269074313,1.293493748,-0.178246036,-0.453104679,-1.32654488,1.153340056,1.132348543,-0.169598565
IL_2023_01,8.90147826,0,2,3400,11000,3,4,8.5,3,3,1,0,0,0,100,25,25,0,20,5,25,10,41,46,1,2,2.05,0,0,3,0,0,1,0,0,0,0,1,-0.402660215,1.462957592,0.12080264,-0.845650848,-1.235251797,2.376850923,0.652855698,-0.453104679,1.503979743,0.32513045,1.132348543,-0.169598565
IL_2023_02,10.66108104,1,2,1200,15000,13,2,5,2,3,0,0,0,0,100,0,5,0,90,0,5,9,57,33,1,0,0.35,1,20,3,0,0,0,1,0,0,0,1,-0.482705431,1.462957592,0.12080264,1.365627918,0.295841307,2.353438297,0.590847953,2.760098567,-0.603700978,-1.858377407,1.132348543,-0.169598565
IL_2023_03,14.75004924,1,3,1600,34000,21,25,6,2,3,0,10,0,0,90,0,7,0,90,3,0,89,6,3,2,0,0.26,0,0,3,1,0,0,0,0,0,0,1,-0.445881237,1.158168925,0.265454629,1.349748937,0.140447617,-0.846560537,-1.909577908,-0.453104679,-1.32654488,1.153340056,1.132348543,-0.169598565
IN_2022_01,14.30288478,1,3,8200,39204,5,9,6,3,2,1,100,0,0,0,20,10,40,30,0,0,22,45,33,0,0,0.75,0,0,3,0,0,0,1,0,0,0,1,-0.18585082,-1.584929077,1.567322529,-0.931319503,0.332661314,1.937012688,0.202132401,-0.453104679,-0.603700978,-1.858377407,1.132348543,-0.169598565
IN_2022_02,4.05211788,0,1,3678,24394,7,5,8,3,3,1,0,0,0,100,0,0,0,70,10,20,92,4,4,0,0,0.27,0,0,3,1,0,0,0,0,0,0,1,-0.376997862,1.462957592,0.12080264,1.15151965,0.086236125,-0.854442219,-2.010934821,-0.453104679,-1.32654488,1.153340056,1.132348543,-0.169598565
IN_2022_03,17.5497523,1,3,27300,26136,1,4,0,3,3,0,0,0,0,100,0,0,0,90,10,0,15,50,35,0,0,5,0,0,3,0,0,0,1,0,1,0,0,0.539802815,1.462957592,0.12080264,1.558853591,0.117841269,2.192637373,0.444570318,-0.453104679,-0.603700978,-1.858377407,-1.758410702,-0.98358954
IN_2022_04,4.95495072,0,1,4432,43560,10,5,18,2,3,1,0,40,0,60,0,0,0,90,0,10,36,28,16,20,0,0.4,0,0,3,0,0,0,1,0,0,0,1,-0.326709542,0.391381469,-0.830988528,1.471123179,0.441546562,0.386453152,-0.115496216,-0.453104679,-0.603700978,-1.858377407,1.132348543,-0.169598565
IN_2022_05,17.610201,1,3,440,26136,59,7,6,1,3,1,10,90,0,0,0,10,20,70,0,0,48,1,1,50,0,0.13,0,0,3,1,0,0,0,0,0,0,1,-0.49606835,-1.252877353,-1.876075499,0.531071202,0.527521828,-1.505470445,-0.270295946,-0.453104679,-1.32654488,1.153340056,1.132348543,-0.169598565
IN_2023_01,14.78298119,1,3,215,3000,14,5,4,3,3,0,0,0,0,100,5,5,0,70,0,20,0,0,0,100,0,0,0,0,3,0,0,1,0,0,1,0,0,-0.533818232,1.462957592,0.12080264,0.87679515,0.129075876,-1.993101538,1.59851492,-0.453104679,1.503979743,0.32513045,-1.758410702,-0.98358954
IN_2023_02,11.05904867,1,2,1600,23000,14,10,6,3,2,1,0,0,0,100,0,0,0,100,0,0,42,34,24,0,0,1.3,0,0,3,0,0,0,1,0,0,0,1,-0.458431995,1.462957592,0.12080264,1.67479015,0.457349135,1.129273464,-0.429724838,-0.453104679,-0.603700978,-1.858377407,1.132348543,-0.169598565
IN_2023_03,18.35958005,1,3,2000,43000,22,11,6,3,3,0,0,0,0,100,0,1,0,98,0,1,16,44,40,0,0,1.94,0,0,3,0,0,1,0,0,0,0,1,-0.420522158,1.462957592,0.12080264,1.612957703,0.425047569,2.223020535,0.422849328,-0.453104679,1.503979743,0.32513045,1.132348543,-0.169598565
IN_2023_05,5.99597226,0,1,22275,65000,3,6,36,3,2,0,0,0,0,100,0,25,0,75,0,0,46,33,21,0,0,0.78,0,0,3,0,0,1,0,1,0,0,0,0.387433683,1.462957592,0.12080264,0.638146419,-0.310683572,0.956341415,-0.566344709,-0.453104679,1.503979743,0.32513045,-0.932872823,1.481934936
IN_2023_06,1.8283428,0,1,6460,27900,4,14,18,3,3,0,0,0,0,100,25,10,0,60,0,5,17,45,38,0,0,2.3,0,0,3,0,0,1,0,0,1,0,0,-0.265640688,1.462957592,0.12080264,0.24163761,-0.573073096,2.16425503,0.385085359,-0.453104679,1.503979743,0.32513045,-1.758410702,-0.98358954
IN_2023_07,10.38687198,1,2,4500,17000,4,3,12,3,3,0,0,0,0,100,0,5,0,80,5,10,100,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,-0.353430734,1.462957592,0.12080264,1.205826154,0.118186088,-1.18043519,-2.268820011,-0.453104679,1.503979743,0.32513045,-0.932872823,1.481934936
IN_2023_08,3.890813399,0,1,1000,4000,4,3,8,3,3,0,0,0,0,100,5,5,0,90,0,0,100,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,-0.503180763,1.462957592,0.12080264,1.284129091,0.160681021,-1.18043519,-2.268820011,-0.453104679,1.503979743,0.32513045,-1.758410702,-0.98358954
IN_2023_09,6.404199475,0,1,3600,30000,8,4,12,3,3,0,0,0,0,100,30,10,0,50,5,5,0,0,0,100,0,0,0,0,3,0,0,1,0,0,1,0,0,-0.37384755,1.462957592,0.12080264,0.000337018,-0.885888601,-1.993101538,1.59851492,-0.453104679,1.503979743,0.32513045,-1.758410702,-0.98358954
IN_2023_10,12.59840323,1,2,1800,10800,6,4,12,3,2,0,0,0,0,100,5,0,0,90,0,5,0,0,0,100,0,0,0,0,3,0,0,1,0,1,0,0,0,-0.464621813,1.462957592,0.12080264,1.389624352,0.306386276,-1.993101538,1.59851492,-0.453104679,1.503979743,0.32513045,-0.932872823,1.481934936
IN_2023_11,9.013108332,0,2,280,2600,9,11,15,3,3,0,0,0,0,100,0,0,0,85,15,0,19,45,36,0,0,0.84,0,0,3,0,0,1,0,0,1,0,0,-0.532168293,1.462957592,0.12080264,1.500885311,-0.051912664,2.076050451,0.306725717,-0.453104679,1.503979743,0.32513045,-1.758410702,-0.98358954
IN_2023_12,9.339211589,0,2,1000,15700,16,11,6,3,3,0,0,0,0,100,0,0,0,75,0,25,16,44,40,0,0,1.94,0,0,3,0,0,1,0,0,0,0,1,-0.489435284,1.462957592,0.12080264,1.165622724,0.417842704,2.223020535,0.422849328,-0.453104679,1.503979743,0.32513045,1.132348543,-0.169598565
IN_2023_13,2.283180749,0,1,4360,52000,12,3,3,3,3,0,0,0,0,100,0,10,0,25,0,65,0,0,0,100,0,0,1,2,3,0,0,0,1,0,0,0,1,-0.320163042,1.462957592,0.12080264,-0.06370265,0.047419332,-1.993101538,1.59851492,1.681865811,-0.603700978,-1.858377407,1.132348543,-0.169598565
IN_2023_14,20.5511811,1,3,1750,80000,46,11,3,3,3,1,100,0,0,0,0,0,0,75,0,25,41,32,27,0,0,1.54,0,0,3,0,0,0,1,0,0,0,1,-0.387954781,-1.584929077,1.567322529,1.165622724,0.417842704,1.197285416,-0.382958154,-0.453104679,-0.603700978,-1.858377407,1.132348543,-0.169598565
IN_2023_15,4.446192525,0,1,835,6500,8,11,2,3,2,0,0,0,0,100,10,0,0,70,10,10,50,27,23,0,0,0.51,0,0,3,0,0,0,1,0,0,0,1,-0.506513138,1.462957592,0.12080264,0.988521995,-0.184084448,0.838455871,-0.674904295,-0.453104679,-0.603700978,-1.858377407,1.132348543,-0.169598565
IN_2023_16,33.07082362,1,3,450,15000,33,11,8,3,2,0,0,0,0,100,0,0,0,50,0,50,19,45,36,0,0,0.84,0,0,3,0,0,1,0,0,0,0,1,-0.510031349,1.462957592,0.12080264,0.656455298,0.378336273,2.076050451,0.306725717,-0.453104679,1.503979743,0.32513045,1.132348543,-0.169598565
IN_2023_17,17.8302978,1,3,791,23500,30,14,6,3,3,1,0,0,0,100,0,0,0,80,0,20,23,40,37,0,0,0.9,0,0,3,0,0,1,0,0,0,0,1,-0.487849354,1.462957592,0.12080264,1.267456209,0.42574399,1.945937635,0.19489671,-0.453104679,1.503979743,0.32513045,1.132348543,-0.169598565
IN_2023_18,1.299212598,0,1,320,12700,40,14,6,3,3,0,0,0,0,100,0,0,0,100,0,0,23,40,37,0,0,0.9,0,0,3,0,0,0,1,0,0,0,1,-0.516957584,1.462957592,0.12080264,1.67479015,0.457349135,1.945937635,0.19489671,-0.453104679,-0.603700978,-1.858377407,1.132348543,-0.169598565
MI_2022_01,1.673287992,0,1,407,215535,530,2,4,3,3,0,5,0,0,95,0,0,0,80,0,20,36,33,31,0,0,0.25,0,0,3,0,0,1,0,0,1,0,0,-0.250772051,1.310563259,0.193128634,1.267456209,0.42574399,1.422460932,-0.222817137,-0.453104679,1.503979743,0.32513045,-1.758410702,-0.98358954
MI_2022_02,13.10099742,1,2,1200,210525,175,2,8,3,3,0,100,0,0,0,5,0,0,75,20,0,97,2,1,0,0,0.48,0,0,3,0,0,1,0,0,0,0,1,-0.256348412,-1.584929077,1.567322529,1.259584719,-0.364728169,-1.064986571,-2.172430042,-0.453104679,1.503979743,0.32513045,1.132348543,-0.169598565
MI_2022_03,5.06195838,0,1,400,828,2,2,3,3,3,1,0,100,0,0,30,0,0,20,0,50,30,6,4,60,0,4.46,0,0,3,1,0,0,0,0,0,0,1,-0.530050332,-1.215982716,-2.25867528,-0.443538577,-0.480033161,-1.284926733,0.394048143,-0.453104679,-1.32654488,1.153340056,1.132348543,-0.169598565
MI_2022_04,6.00376752,0,1,62,1291990,20839,18,36,3,3,0,0,100,0,0,0,0,100,0,0,0,95,3,2,0,0,0.11,1,25,3,0,0,0,1,0,0,0,1,2.670453867,-1.215982716,-2.25867528,-1.970517126,2.344278014,-0.982086058,-2.110655859,3.059607666,-0.603700978,-1.858377407,1.132348543,-0.169598565
MI_2022_05,5.6444769,0,1,650,18731,29,10,14,3,3,0,50,0,0,50,0,0,0,80,20,0,94,1,5,0,0,0.25,0,0,3,0,0,1,0,0,1,0,0,-0.498577962,-0.060985742,0.844062584,1.442917032,-0.221666596,-0.913753587,-2.064505658,-0.453104679,1.503979743,0.32513045,-1.758410702,-0.98358954
MI_2022_06,1.69653204,0,1,434,22651,52,1,8,3,3,0,100,0,0,0,0,0,0,80,20,0,33,3,4,60,0,0.1,0,0,3,1,0,0,0,0,1,0,0,-0.500693017,-1.584929077,1.567322529,1.442917032,-0.221666596,-1.376769661,0.279042438,-0.453104679,-1.32654488,1.153340056,-1.758410702,-0.98358954
MI_2022_07,9.57470526,0,2,120,12023,100,14,4,2,2,0,100,0,0,0,0,0,100,0,0,0,96,3,1,0,0,0.09,0,0,3,1,0,0,0,0,1,0,0,-0.52022599,-1.584929077,1.567322529,-1.970517126,2.344278014,-1.028464031,-2.145458649,-0.453104679,-1.32654488,1.153340056,-1.758410702,-0.98358954
MI_2022_08,50,1,3,3500,87120,25,11,3,1,3,0,0,100,0,0,0,0,0,90,5,5,5,1,0,0,94,0.01,0,0,3,1,0,0,0,0,0,0,1,-0.314232702,-1.215982716,-2.25867528,1.514988385,0.279693916,-1.639883265,1.08375056,-0.453104679,-1.32654488,1.153340056,1.132348543,-0.169598565
MI_2022_09,8.35439274,0,2,135,3659,27,2,6,3,3,0,100,0,0,0,0,10,0,80,10,0,99,1,0,0,0,0.09,0,0,3,1,0,0,0,0,1,0,0,-0.535072657,-1.584929077,1.567322529,1.144196098,-0.189371813,-1.145451141,-2.238889498,-0.453104679,-1.32654488,1.153340056,-1.758410702,-0.98358954
MI_2022_10,6.3141606,0,1,21000,4530240,216,15,3,1,3,0,100,0,0,0,10,30,0,50,10,0,30,3,2,65,0,0.01,1,10,3,0,0,0,1,0,1,0,0,5.20420364,-1.584929077,1.567322529,-0.051783511,-1.089921124,-1.509998665,0.402495363,2.161080369,-0.603700978,-1.858377407,-1.758410702,-0.98358954
MI_2022_11,0.894470652,0,1,1400,174240,124,9,3,2,3,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,3,1,0,0,0,0,1,0,0,-0.29242498,-1.215982716,-2.25867528,1.67479015,0.457349135,-1.706699594,1.266428122,-0.453104679,-1.32654488,1.153340056,-1.758410702,-0.98358954
MI_2022_12,3.82392936,0,1,686,28314,41,1,36,3,3,0,0,0,0,100,0,5,0,90,5,0,97,3,0,0,0,0.28,0,0,3,0,0,1,0,0,1,0,0,-0.485735672,1.462957592,0.12080264,1.409493124,0.133988661,-1.075515094,-2.178966824,-0.453104679,1.503979743,0.32513045,-1.758410702,-0.98358954
MI_2022_13,2.2960584,0,1,118500,1742400,15,24,12,3,3,0,80,0,0,20,10,5,0,85,0,0,50,4,1,45,0,0.41,1,10,3,0,0,0,1,0,0,1,0,5.938575091,-0.975351743,1.278018551,1.100796779,0.017619449,-1.359917031,-0.373809506,2.161080369,-0.603700978,-1.858377407,-1.020138766,2.727830518
MI_2022_14,3.22015104,0,1,3700,110033,30,1,10,3,3,0,0,100,0,0,0,0,0,90,0,10,65,20,15,0,0,0.5,1,20,3,1,0,0,0,0,0,0,1,-0.281171913,-1.215982716,-2.25867528,1.471123179,0.441546562,0.220043694,-1.158031636,2.760098567,-1.32654488,1.153340056,1.132348543,-0.169598565
MI_2022_15,26.539317,1,3,1200,89995,75,4,8,3,3,0,20,80,0,0,0,5,0,85,10,0,93,2,5,0,0,0.28,0,0,3,1,0,0,0,0,0,0,1,-0.395896439,-1.289771989,-1.493475718,1.351524845,-0.035765272,-0.878577226,-2.034945035,-0.453104679,-1.32654488,1.153340056,1.132348543,-0.169598565
MI_2022_16,2.88637218,0,1,9500,900124,95,12,12,2,3,0,0,0,0,100,10,10,0,70,10,0,96,3,1,0,0,0.07,0,0,3,0,0,0,1,0,0,0,1,0.807006665,1.462957592,0.12080264,0.777531474,-0.475494958,-1.028399927,-2.145581946,-0.453104679,-0.603700978,-1.858377407,1.132348543,-0.169598565
MI_2022_17,0.025,0,1,5760,92347,16,7,18,2,2,0,0,100,0,0,5,0,0,95,0,0,95,4,1,0,0,0.2,1,50,3,1,0,0,0,0,1,0,0,-0.221758098,-1.215982716,-2.25867528,1.491457837,0.314287562,-0.993544085,-2.11540484,4.557153161,-1.32654488,1.153340056,-1.758410702,-0.98358954
MI_2022_18,23.365,1,3,365,52490,144,10,12,2,3,0,50,50,0,0,0,0,0,95,5,0,94,1,5,0,0,0.25,0,0,3,1,0,0,0,0,0,0,1,-0.462972707,-1.400455897,-0.345676375,1.61682187,0.287595202,-0.913753587,-2.064505658,-0.453104679,-1.32654488,1.153340056,1.132348543,-0.169598565
MI_2022_19,13.1335,1,2,7200,370696,51,19,36,3,3,0,0,0,0,100,10,10,0,50,30,0,93,2,5,0,0,0.25,0,0,3,1,0,0,0,0,0,0,1,0.139277902,1.462957592,0.12080264,0.545658356,-1.154510689,-0.878481071,-2.03512998,-0.453104679,-1.32654488,1.153340056,1.132348543,-0.169598565
MI_2022_20,9.8655,0,2,1493,22216,15,9,6,1,1,1,10,0,80,10,0,0,0,90,10,0,98,1,1,0,0,0.18,0,0,3,1,0,0,0,0,0,0,1,-0.463342792,-0.633840462,-0.401249846,1.558853591,0.117841269,-1.099297531,-2.20365517,-0.453104679,-1.32654488,1.153340056,1.132348543,-0.169598565
MI_2023_01,7.644334448,0,2,8959,90627,10,10,14,3,3,1,75,0,0,25,0,0,60,40,0,0,84,9,7,0,0,0.5,0,0,3,0,0,1,0,0,0,0,1,-0.10017522,-0.82295741,1.205692557,-0.512394216,1.589506462,-0.5394906,-1.75860004,-0.453104679,1.503979743,0.32513045,1.132348543,-0.169598565
MI_2023_02,7.859693511,0,2,58148,463954,8,22,22,2,3,0,0,20,80,0,0,0,95,0,5,0,95,3,2,0,0,0.1,0,0,2,0,0,0,1,0,0,0,1,2.211188593,-0.864839857,-1.021797419,-1.846220042,2.080177637,-0.982054006,-2.110717508,-0.453104679,-0.603700978,-1.858377407,1.132348543,-0.169598565
MI_2023_03,5.850763246,0,1,69792,5016073,72,22,10,2,3,0,80,0,0,20,0,0,10,85,5,0,95,3,2,0,0,0.1,0,0,1,0,0,0,1,0,0,0,1,7.609976327,-0.975351743,1.278018551,1.252291143,0.47628809,-0.982054006,-2.110717508,-0.453104679,-0.603700978,-1.858377407,1.132348543,-0.169598565
MI_2023_04,8.774611245,0,2,8163,79110,10,23,6,2,3,0,40,0,60,0,0,0,100,0,0,0,95,3,2,0,0,0.1,0,0,2,0,0,0,1,0,0,0,1,-0.14352623,-1.100204116,0.199382239,-1.970517126,2.344278014,-0.982054006,-2.110717508,-0.453104679,-0.603700978,-1.858377407,1.132348543,-0.169598565
MI_2023_05,3.197753995,0,1,89760,3049200,34,16,84,2,3,0,67,33,0,0,45,5,0,45,5,0,44,37,19,0,0,0.2,1,5,3,0,0,0,1,0,0,0,1,6.245175516,-1.463176778,0.304743252,-0.240497688,-1.153565491,1.006406337,-0.521776587,1.86157127,-0.603700978,-1.858377407,1.132348543,-0.169598565
MI_2023_06,6.816791333,0,2,73436,165964,2,13,22,2,3,0,0,0,0,100,0,5,0,85,5,5,13,43,44,0,0,0.3,0,0,3,0,0,1,0,0,0,0,1,2.479616871,1.462957592,0.12080264,1.307659639,0.126087375,2.378772834,0.522081298,-0.453104679,1.503979743,0.32513045,1.132348543,-0.169598565
