High Low Inf,Drainage Area Ratio,Age,Ponding depth,Underdrain,% Residential,% Vegetation_shrub,% Vegetation_tree,% Vegetation_grass,% Vegetation_prairie,% Vegetation_other,% of surface with poor infiltration,Vegetation condition,Engineered soil depth,Engineered soil _% sand,Engineered soil _% compost,Soil_PC_1,Soil_PC_2
1,5,9,6,1,100,20,10,40,30,0,0,3,18,0,0,1.746924859,-0.398601727
0,7,5,8,1,0,0,0,0,70,20,0,3,12,50,20,-0.638478188,2.330819837
1,1,4,0,0,0,0,0,0,90,0,0,3,0,0,0,2.033901351,-0.431213955
0,10,5,18,1,0,0,0,0,90,10,0,3,24,25,15,0.275993723,0.197714222
0,52,1,8,0,100,0,0,0,80,0,0,3,1,0,0,-1.512943406,0.087367793
0,100,14,4,0,100,0,0,100,0,0,0,3,30,0,0,-0.790659763,2.49375743
0,27,2,6,0,100,0,10,0,80,0,0,3,4,50,25,-0.890117068,2.609087576
0,41,1,36,0,0,0,5,0,90,0,0,3,0,0,0,-0.828045076,2.550210947
1,144,10,12,0,50,0,0,0,95,0,0,3,39,0,75,-0.687956151,2.387592528
1,5,2,18,1,0,15,0,0,75,5,0,3,18,60,25,-0.814764815,2.550844511
1,52,8,1.4,1,90,10,10,60,0,10,0,2,18,70,30,-0.658852512,2.365071548
0,29,17,18,0,10,0,10,10,70,0,5,3,24,0,0,-0.787030527,-1.190696014
0,71,3,14,1,100,10,10,50,20,10,5,3,30,50,0,-1.720322836,-0.97436586
0,2,3,6,1,90,10,10,70,0,0,0,3,18,0,0,-0.518216971,-1.103255431
1,4,5,13.5,1,0,40,10,30,20,0,0,3,12,70,0,1.919785904,-0.620937119
1,3,5,6,1,0,20,10,0,0,70,0,3,34,50,20,-2.064202846,-0.795289436
0,19,5,5,0,100,30,0,70,0,0,0,3,32,70,10,1.285236675,4.274829197
0,6,14,6,1,0,40,10,10,0,10,80,3,14,80,10,1.014821054,0.430088138
1,13,9,8,1,0,40,10,0,0,20,0,3,24,0,0,-2.064202846,-0.795289436
1,27,1,0,1,50,20,10,50,20,0,5,3,36,60,5,-1.695918257,-0.200585378
1,10,13,4,1,0,10,40,0,10,40,7,3,4,40,10,-1.823011527,-0.666630616
1,5,11,2.8,1,100,0,0,0,0,100,0,3,29,10,10,-0.707928845,2.412605415
1,83,8,7.9,1,0,0,0,0,90,0,0,3,24,88,6,1.156315084,0.325418688
0,30,9,4,0,70,60,0,0,30,10,0,3,18,60,10,2.183082001,-1.213771623
0,16,7,6,0,0,60,0,0,30,10,0,3,24,50,10,-1.823011527,-0.666630616
0,6,12,7.1,1,100,0,0,0,75,25,0,3,30,50,0,-1.042255344,-0.582828579
0,3,9,6,1,10,0,10,0,90,0,0,3,28,89,5,-1.530635605,-0.380096651
1,0,7,3,1,0,30,10,0,0,60,0,3,24,40,0,1.195589205,0.22415621
0,3,17,3.5,1,50,60,40,0,0,0,10,3,30,48,0,-0.139085356,1.766356376
1,33,9,10,1,0,40,0,20,40,0,0,3,30,60,10,0.417802728,1.120974012
1,11,7,3,1,0,90,10,0,0,0,0,3,16,50,0,0.535662257,0.352914237
1,3,6,2,1,0,75,10,0,0,15,0,3,16,50,0,-1.705871099,-0.934910291
1,15,10,2,1,30,40,0,0,40,20,0,3,24,50,0,-1.04239259,-0.58337608
1,4,11,6,1,0,90,10,0,0,0,0,3,7,50,0,0.196534627,1.363364922
1,26,10,5,1,100,95,5,0,0,0,0,3,24,88,6,1.309050336,-0.123392321
1,78,11,6,1,0,95,5,0,0,0,0,3,24,94,0,1.014409315,0.428445637
0,21,6,24,0,100,100,0,0,0,0,0,3,24,89,5,1.414577303,-0.012190651
1,1,16,6,1,0,40,10,0,50,0,0,3,21,50,25,0.057148723,1.330253803
1,8,9,3,0,0,20,10,0,50,20,0,3,0,0,0,-2.02952982,-0.810218993
1,3,9,8,1,50,50,0,0,50,0,0,3,30,79,13,-1.530635605,-0.380096651
0,9,11,6,1,30,0,0,0,90,10,0,2,24,82,10,1.014409315,0.428445637
0,9,2,12,1,80,0,0,0,100,0,0,2,12,88,6,1.157001316,0.32815619
1,6,2,12,1,80,0,0,0,100,0,0,2,24,88,6,1.157001316,0.32815619
0,37,12,4,1,0,0,0,100,0,0,0,2,12,61,35,-1.383009059,-0.591568994
1,8,10,6,1,70,10,40,0,40,10,0,3,24,89,5,1.04414147,0.393806069
1,33,6,0,1,0,0,0,0,90,10,0,2,0,0,0,1.922388008,-0.621911403
1,19,6,10.8,1,30,0,30,0,60,0,0,3,24,80,0,-0.727537407,2.43528604
0,4,6,0,1,100,0,15,50,15,0,0,2,24,70,10,-0.361402798,0.661467924
0,9,5,0,0,40,0,0,0,70,0,0,3,24,70,10,1.094825647,-0.5266996
0,68,7,0,0,0,0,15,0,85,0,0,3,36,80,10,-0.045607216,-0.251642482
1,15,9,15,1,0,25,15,40,0,0,0,3,24,70,10,1.760542187,-0.441397602
1,16,9,15,1,0,25,0,0,45,0,0,3,24,70,10,1.760542187,-0.441397602
1,14,6,12,1,0,10,0,80,10,0,0,3,18,70,10,2.399696264,-1.184926035
1,23,9,8,1,0,20,20,15,15,0,0,3,24,80,10,-1.73856998,-0.410530894
1,22,5,8,1,0,40,10,0,45,0,0,3,24,80,10,-1.693473626,-0.245259381
1,17,2.5,13,1,0,30,0,60,0,0,5,3,36,80,10,-2.325084231,-1.142507202
1,27,5,8.5,1,0,0,10,30,60,0,0,3,24,80,10,-1.693473626,-0.245259381
1,33,6,7,1,0,0,5,55,40,0,0,3,24,80,10,2.37298353,-1.138241461
1,11,5,8.5,1,0,10,20,70,0,0,0,3,24,80,10,2.08711843,-1.129278409
0,16,8,11,1,100,0,25,65,10,0,0,2,24,80,10,-1.693473626,-0.245259381
0,3,6,0,0,100,0,20,15,55,0,0,3,24,80,10,-0.081013152,-0.432450722
0,6,7,0,1,0,0,0,90,0,0,0,2,24,70,10,-2.325084231,-1.142507202
0,4,5,0,1,100,0,0,100,0,0,0,3,0,0,0,-0.074479331,0.32593619
0,1,7,15,1,0,15,10,75,0,0,0,2,24,80,10,-1.215383922,-0.797586985
0,3,7,20,1,0,0,0,0,100,0,0,3,24,80,10,-1.215383922,-0.797586985
1,8,7,26,1,0,15,5,80,0,0,0,3,24,80,10,-1.215383922,-0.797586985
0,32,10,0,0,0,0,10,70,10,0,5,3,12,70,10,0.434129446,-0.797400082
0,19,13,12,1,30,0,0,0,100,0,0,3,24,40,30,1.929170079,-0.650985117
1,6,8,12,0,0,40,0,0,30,20,0,2,24,45,35,-0.571375686,2.288225955
1,3,8,13,0,0,0,0,0,0,30,0,2,24,45,35,-0.620289697,2.298689446
1,10,9,6,0,0,5,0,60,30,0,0,2,24,45,35,-0.687956151,2.387592528
0,75,3,15.5,1,100,0,10,90,0,0,1,3,18,70,30,1.937557077,-0.666086801
0,130,3,28,1,90,0,0,0,60,30,5,2,18,75,0,2.025355181,-0.805947746
0,19,6,2.8,1,0,0,0,100,0,0,1,2,24,75,25,1.499675598,-0.153101272
0,148,5,48,1,90,10,10,0,80,0,0,2,20,75,25,1.858991159,-0.564535013
0,20,1,21.5,1,0,0,0,0,100,0,0,3,24,75,25,1.938201278,-0.655947272
0,300,5,1.1,1,0,0,0,0,30,70,0,2,6,75,25,-0.808729274,-1.359482073
0,45,13,1,1,0,0,0,0,60,30,0,2,36,40,30,0.423480148,1.296868659
0,7,4,7.9,1,10,0,0,0,80,0,0,3,18,75,25,-2.325084231,-1.142507202
0,15,8,5.8,1,20,20,0,0,50,10,0,2,12,70,30,1.046653936,0.396259048
1,29,7,18,1,0,0,0,0,90,10,0,3,17,75,25,0.986777886,0.463895682
0,18,4,6.2,0,30,0,0,0,90,0,0,3,24,75,25,0.660069531,0.962350649
0,12,3,18.5,0,0,0,0,100,0,0,0,3,12,75,25,-0.218369789,-0.8469993
0,38,12,3.5,1,100,2,0,0,90,8,0,2,24,57,30,1.910295357,-0.621592227
1,45,13,1,1,0,2,0,0,95,3,5,2,26,75,25,0.602764759,0.310320356
0,7,3,9,1,0,10,0,0,70,5,0,3,18,75,25,-2.325084231,-1.142507202
0,8,4,6,1,0,0,0,0,99,1,0,2,12,0,0,1.967137019,-0.652774666
0,29,5,6,1,10,0,0,95,5,0,0,1,18,0,0,1.86392745,-0.673184692
1,2,4,7,1,0,20,60,0,0,0,10,2,36,85,15,2.232776412,-1.124350287
0,3,3,16,1,100,45,2,50,0,3,0,3,18,70,30,1.937557077,-0.666086801
0,45,3,19,1,100,0,0,0,99,0,0,3,18,70,30,2.299964466,-1.07069089
0,32,7,2,0,0,0,0,0,50,0,0,3,36,70,30,1.242142964,0.163288039
1,30,15,2,1,0,0,10,0,60,30,0,3,30,40,40,2.146051873,-0.899519247
0,9,6,7.8,1,0,1,50,20,28,0,0,3,24,70,30,-1.823011527,-0.666630616
0,4,3,12,1,0,0,1,0,95,4,0,3,24,15,5,-1.823011527,-0.666630616
1,10,8,15,1,0,40,8,0,0,52,0,3,18,100,0,0.71459451,0.235570585
1,12,9,18,1,0,5,20,0,65,5,0,3,36,70,30,1.975931176,-0.794593539
1,3,10,7.5,1,100,40,10,0,35,10,0,2,18,70,30,-2.325084231,-1.142507202
1,3,10,5.5,1,100,5,5,35,0,55,0,3,18,70,30,-2.325084231,-1.142507202
0,517,8,7,0,0,0,100,0,0,0,0,2,12,75,25,-2.325084231,-1.142507202
0,10,3,2,0,90,0,0,0,100,0,0,3,6,75,25,-1.823011527,-0.666630616
0,39,3,7.5,1,10,0,1,0,98,1,1,3,18,70,30,-2.325084231,-1.142507202
